frame,blink,gaze_vel,AU1-neg,AU1-pos,AU2-neg,AU2-pos,AU3-neg,AU3-pos,AU4-neg,AU4-pos,AU5-neg,AU5-pos,AU6-neg,AU6-pos,AU7-neg,AU7-pos,AU8-neg,AU8-pos,AU9-neg,AU9-pos,AU10-neg,AU10-pos,AU11-neg,AU11-pos,AU12-neg,AU12-pos
1230,0,7.40180909837731,-0.0808,-2.5553,-0.0397,-3.2456,-0.5451,-0.8670,-0.1138,-2.2300,-1.3329,-0.3062,-0.1748,-1.8302,-1.0328,-0.4401,-0.2717,-1.4359,-0.1367,-2.0573,-0.5266,-0.8931,-0.1443,-2.0074,-0.0746,-2.6328
1260,0,9.591537441207242,-0.0585,-2.8683,-0.0229,-3.7894,-0.6463,-0.7423,-0.1379,-2.0494,-1.4422,-0.2697,-0.1383,-2.0464,-0.7877,-0.6067,-0.2342,-1.5665,-0.1387,-2.0441,-0.4269,-1.0571,-0.1596,-1.9141,-0.0783,-2.5863
1290,1,19.029580117461467,-0.0820,-2.5417,-0.0125,-4.3894,-0.8884,-0.5299,-0.2890,-1.3823,-1.7041,-0.2008,-0.1299,-2.1053,-0.6025,-0.7928,-0.1180,-2.1955,-0.1892,-1.7581,-0.5676,-0.8368,-0.1403,-2.0331,-0.1575,-1.9261
1320,0,18.218306638853957,-0.1146,-2.2227,-0.0196,-3.9414,-0.8276,-0.5747,-0.1834,-1.7861,-1.3710,-0.2928,-0.1398,-2.0368,-0.7056,-0.6809,-0.0701,-2.6923,-0.2000,-1.7079,-0.5350,-0.8811,-0.0977,-2.3741,-0.2975,-1.3574
1350,0,16.682322484203358,-0.1999,-1.7080,-0.0652,-2.7620,-0.6456,-0.7431,-0.1351,-2.0685,-1.2307,-0.3454,-0.1294,-2.1085,-0.7093,-0.6773,-0.0858,-2.4984,-0.2889,-1.3825,-0.7261,-0.6613,-0.1786,-1.8108,-0.4994,-0.9336
1380,0,9.610485386903427,-0.1285,-2.1154,-0.0380,-3.2891,-0.8735,-0.5404,-0.1494,-1.9749,-1.1869,-0.3641,-0.1346,-2.0717,-0.7548,-0.6351,-0.1208,-2.1736,-0.2568,-1.4852,-0.5377,-0.8773,-0.1677,-1.8684,-0.2178,-1.6309
1410,0,19.349887480806277,-0.0134,-4.3206,-0.0195,-3.9484,-0.8416,-0.5639,-0.2742,-1.4277,-1.5764,-0.2316,-0.6847,-0.7017,-1.5337,-0.2430,-0.5819,-0.8183,-0.1707,-1.8522,-0.1687,-1.8628,-0.1070,-2.2875,-0.0413,-3.2069
1440,0,28.397604627958845,-0.0113,-4.4866,-0.0213,-3.8580,-0.0432,-3.1642,-0.0420,-3.1920,-0.6913,-0.6950,-0.1041,-2.3139,-1.4884,-0.2558,-0.0501,-3.0195,-0.6509,-0.7373,-0.2566,-1.4859,-0.0745,-2.6344,-0.0274,-3.6098
1470,1,31.047900091649712,-0.0130,-4.3531,-0.0133,-4.3242,-0.0543,-2.9405,-0.0167,-4.1001,-0.4629,-0.9927,-0.0498,-3.0243,-0.8559,-0.5532,-0.0392,-3.2597,-0.6563,-0.7314,-0.2132,-1.6501,-0.0415,-3.2021,-0.0667,-2.7404
1500,0,19.63881534042769,-0.0118,-4.4474,-0.0235,-3.7619,-0.0430,-3.1682,-0.0519,-2.9849,-0.3895,-1.1314,-0.2012,-1.7026,-2.0664,-0.1354,-0.0421,-3.1886,-0.4338,-1.0442,-0.1013,-2.3395,-0.0731,-2.6527,-0.0192,-3.9626
